Title,Price,Image,Link,Type,Deal,Distro,Cidade,Freguesia,Rua,Address,Description,Área útil (m²):,Área bruta (m²):,Tipologia:,Ano de construção:,Casas de Banho:,Certificado Energético:,nº de licença de utilização:,Features,Condição:,Acompanhamento Virtual:
Apartamento T2 para arrendamento,2 500 €,"""https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InZucHEzM2MyYWZoYjEtRUNPU1lTVEVNIiwidyI6W3siZm4iOiI0amFmcGw5aDNmZ3QtQVBUIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.0NApIjqVmS3GLcTbO0th4gYLj9K12Dm4iC9aK0Z6Slo/image;s=1280x1024;q=80""",https://www.imovirtual.com/pt/anuncio/apartamento-t2-para-arrendamento-ID17FZb.html#14574e5aee,Apartamento,Arrendar,Lisboa (distrito),Lisboa,Misericórdia,Rua Caetano Palha,"Rua Caetano Palha , Misericórdia, Lisboa","Situado no coração da cidade de Lisboa, este apartamento de tipologia T2 encontra-se totalmente remodelado, com excelentes acabamentos e uma vista fantástica sobre o rio Tejo. Composto por uma cozinha totalmente equipada em open space para a sala, uma casa de banho social, 2 quartos com closet, um deles é uma suite e tem ainda uma zona de arrumação preparada para a colocação de máquinas (Ex: máquina de lavar e secar roupa).  Dispõe ainda de janelas em todas as divisões o que faz com que seja muito soalheiro. A sua localização de excelência permite o acesso privilegiado a todos os serviços, comércio e transportes. Com o famoso elétrico 28 mesmo à sua porta, permite aceder em poucos minutos a locais históricos da cidade de Lisboa, como por exemplo: jardim do Príncipe Real, Chiado, Assembleia da República, Time Out Market e Cais do Sodré. Está também a poucos minutos da zona ribeirinha onde poderá passear a pé ou de bicicleta junto ao rio Tejo, usufruindo de vistas magníficas.   Licença de Utilização - isento, inscrito na matriz antes de 1951   ENG Located in the heart of Lisbon, this two-bedroom apartment has been completely remodeled, has excellent finishing’s and a fantastic view over the Tagus River. It consists of a fully equipped kitchen in open space with the living room, service bathroom, 2 bedrooms with dressing room, one of them is a suite which has a storage area prepared for the installation of machinery (Ex: washing machine and dryer). This apartment has windows in all the rooms, which allows natural light to enter, making it very sunny. Its excellent location offers privileged access to all services, commerce and transport.  In addition, you will have the famous tram 28 right at your doorstep, which allows you to get easily and in a few minutes to the historical sites of Lisbon, such as: Principe Real garden, Chiado, Portuguese national assembly, Time Out Market and Cais do Sodré. It is also just minutes away from the riverside area, where you can walk or cycle along the Tagus River and enjoy the magnificent views.   Licença de Utilização -",95 m²,95 m²,T2,1971,2,D,isento ,"['Ar Condicionado', 'Cozinha Equipada', 'Jardim', 'Varanda', 'Vista de mar']",,
T5 Duplex e Terraço na Rua dos Bragas SEM FIADOR,2 250 €,"""https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imh0dW91Y2g1YXVtMi1BUFQiLCJ3IjpbeyJmbiI6IjRqYWZwbDloM2ZndC1BUFQiLCJzIjoiMTQiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.jBNm9mrIOkkVm5fH_C7GpiIPmS0LJvGGUwYuACtaaII/image;s=1280x1024;q=80""",https://www.imovirtual.com/pt/anuncio/t5-duplex-e-terraco-na-rua-dos-bragas-sem-fiador-ID15M7D.html#14574e5aee,Apartamento,Arrendar,Porto (distrito),Porto,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Rua dos Bragas,"Rua dos Bragas , Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória, Porto","T5 Duplex Mobilado no centro da cidade. Próximo ao metro ""Lapa"". Em prédio de traça antiga, na Rua dos Bragas. Com terraço de áreas generosas e vistas desafogadas.Mobilado e cozinha equipada (incluindo máq. de roupa)Ao nível do 2º piso, sem elevador. Um WC completo e outro de serviço. O apartamento já acusa algum desgaste pelos anos de utilização.  Disponível para prazos flexíveis e sub-arrendamento AL, ligue e reserve já! P.F. apenas contatar por chamada (não garantimos resposta a mensagens). Localização: Rua dos Bragas, 354, 2º, 4050-122 Porto  A X House dispõe de diversas outras opções de arrendamento, na cidade do Porto, clique no nosso logótipo para aceder a outros anúncios.  A X House é uma empresa altamente especializada no mercado imobiliário, com especial enfoque na zona do grande Porto.  Temos como pedra basilar a honestidade e a transparência; A ética está acima de tudo, no que toca aos negócios mediados pela X House.  Com vários anos de experiência no sector, seremos uma aposta acertada se optar por fazer negócio connosco.  =  A X House dispõe de diversas outras opções de arrendamento, na cidade do Porto, clique no nosso logótipo para aceder a outros anúncios.  A X House é uma empresa altamente especializada no mercado imobiliário, com especial enfoque na zona do grande Porto.  Temos como pedra basilar a honestidade e a transparência; A ética está acima de tudo, no que toca aos negócios mediados pela X House.  Com vários anos de experiência no sector, seremos uma aposta acertada se optar por fazer negócio connosco.",130 m²,,T5,,2,E,219/63 ,"['Cozinha Equipada', 'Fibra Óptica', 'Mobilado', 'Termoacumulador', 'Terraço', 'Vista de cidade']",Usado,Sim
Mimoso T1 Junto Jardim Campo Grande e metro Alvalade,1 295 €,"""https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjljMmRhamJic3V3czMtQVBUIiwidyI6W3siZm4iOiI0amFmcGw5aDNmZ3QtQVBUIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.7HmCN9f1gD1s4Wf1dXif1Q8HyxUC65HoFhXHCWb-jdA/image;s=1280x1024;q=80""",https://www.imovirtual.com/pt/anuncio/mimoso-t1-junto-jardim-campo-grande-e-metro-alvalade-ID14NAR.html#14574e5aee,Apartamento,Arrendar,Lisboa (distrito),Lisboa,Alvalade,Rua Antónia Pusich,"Rua Antónia Pusich , Alvalade, Lisboa","Comercializado por: Maria Martins      T1  a  estrear, luminoso e  muito acolhedor, em zona nobre, central, servida por 4 estações de metro ( Entrecampos- cidade  universitária e  campo grande- linha  amarela-  e  ainda  Alvalade - linha verde) junto  a  Campo Grande.    Inserido no famoso bairro de Alvalade (premiado em 2019 em  1º  lugar  entre os 30  bairros de  Lisboa) colado a Entrecampos e av Igreja, a uma distancia de 3 minutos a pé do centro comercial e metro de Alvalade para  gerir  com  toda a  tranquilidade o  seu  quotidiano.  Composto  por: .  Quarto  com  orientação a nascente, equipado  com  cama sommier, roupeiro embutido, comoda com  3  gavetões   e  Tv plasma;  .  casa de banho c/  grande janela virada a nascente, cabine de  duche, sanita suspensa, secador de  toalhas, bancada de  lavatório e  maquina de lavar roupa;  .  Sala igualmente  virada a nascente o  que  lhe  confere grande  luminosidade e conforto, equipada com  sofá  cama, mesa de  refeições (por cima  mezanine de arrumos) e  Tv plasma e  maleiro (por  cima do  sofá)  .  cozinha igualmente  virada a nascente, o  que  lhe confere grande luminosidade e conforto, equipada com: placa de  fogão de 4 fogos, a  gás natural, forno  elétrico, frigorifico de bancada,  micro-ondas e esquentador inteligente.     . estrutura  elevatória  por  cima  da  zona de  refeição.  . chão radiante na  casa de banho . quartos e sala  com estores  elétricos . Estendal exterior bem  ventilado  composto  por  2  grandes  cordas, igualmente  virado a nascente.     Termos  e Condições: O Preço  anunciado é para minimo de 6 meses, sem   consumos  incluídos    Todavia, Contratos  activos de agua +  electricidade+gás + ´TV+Net 100 mb.    Com  o  check in: 3  rendas (1195,00 x 3)+ taxa serviço (123,00)  a pagar com a  entrega das chaves.  Para curta  duração  - sob Consulta Politica de cancelamento: devolução 100% com 60 dias de antecedência da data do inicio do contrato.   Envolvente: . 3 minutos a  pé  do  centro comercial e metro de  Alvalade  e hospital  Júlio de  Matos . 5 minutos a pé de  Entrecampos e  do jardim do  Campo Grande .  8 minutos  a pé  do  ISCTE . 10 minutos a  pé  da  cidade  universitária    PODE CONSULTAR  nesta  página "" Outros Anúncios"",  deste  anunciante  sobre outras possibilidades  de  alojamento em  zonas  centris e  junto a  metro.   ",30 m²,35 m²,T1,2021,,C,72877,"['Negociável', 'Armário', 'Cozinha Equipada', 'Estores Eléctricos', 'Fibra Óptica', 'Fossa Séptica', 'Gás Canalizado', 'Kitchenette', 'Mobilado', 'Recuperação de calor', 'Vista de cidade']",,
T0 Mobilado Equipado Renovado à R. Cedofeita,1 000 €,"""https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjVmMmVodDcxOGtubjEtQVBUIiwidyI6W3siZm4iOiI0amFmcGw5aDNmZ3QtQVBUIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.ToUvlvcW4hc3mZ6IMDtZKd2xO9NHv86SPMuOSUdo2DM/image;s=1280x1024;q=80""",https://www.imovirtual.com/pt/anuncio/t0-mobilado-equipado-renovado-a-r-cedofeita-ID14hj2.html#14574e5aee,Apartamento,Arrendar,Porto (distrito),Porto,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Rua Aníbal Cunha,"Rua Aníbal Cunha , Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória, Porto","No centro, entre a Rotunda da Boavista e a Rua de Cedofeita. Apartamento renovado em prédio com elevador. Mobilado e equipado.  Materiais de qualidade, a destacar: Soalho em vinílico flutuante. Caixilharia oscilobatente de vidro duplo. Tetos em pladur com focos. Cama recolhe para posição vertical, dentro de armário. Porta blindada. Cozinha equipada com placa vitrocerâmica, mini-frigorífico, micro-ondas, maq. café expresso e fervedor de água.  Disponível por prazos flexíveis.  Ligue já, damos prioridade aos contatos por chamada.  Localização: R. Aníbal Cunha, 39, Cedofeita, Porto  -  A X House dispõe de diversas outras opções de arrendamento, na cidade do Porto, clique no nosso logótipo para aceder a outros anúncios. A X House é uma empresa altamente especializada no mercado imobiliário, com especial enfoque na zona do grande Porto. Temos como pedra basilar a honestidade e a transparência; A ética está acima de tudo, no que toca aos negócios mediados pela X House.Com vários anos de experiência no sector, seremos uma aposta acertada se optar por fazer negócio connosco.  -  A X House dispõe de diversas outras opções de arrendamento, na cidade do Porto, clique no nosso logótipo para aceder a outros anúncios. A X House é uma empresa altamente especializada no mercado imobiliário, com especial enfoque na zona do grande Porto. Temos como pedra basilar a honestidade e a transparência; A ética está acima de tudo, no que toca aos negócios mediados pela X House.Com vários anos de experiência no sector, seremos uma aposta acertada se optar por fazer negócio connosco.",35 m²,,T0,2017,1,D,125/63 ,"['Cozinha Equipada', 'Elevador', 'Fibra Óptica', 'Kitchenette', 'Mobilado', 'Porta Blindada', 'Vista de cidade']",Renovado,Sim
Apartamento T2 para arrendamento,990 €,"""https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImpqMnFzeTcxMGtibTItRUNPU1lTVEVNIiwidyI6W3siZm4iOiI0amFmcGw5aDNmZ3QtQVBUIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.K5Hr0DrM9eJqx6JY-NMmhFnkXHvK6IK6APLm0DYFZ7Q/image;s=1280x1024;q=80""",https://www.imovirtual.com/pt/anuncio/apartamento-t2-para-arrendamento-ID1bfLL.html#14574e5aee,Apartamento,Arrendar,Ilha da Madeira,Santa Cruz,Caniço,Vereda Manuel Gaulês,"Vereda Manuel Gaulês , Caniço, Santa Cruz","Apartamento T2 com Vista Mar e boas áreas 140m2  Totalmente renovado e banhado de muita luz natural Composto por uma Sala Comum com boa área e Acesso a DUAS Varandas, corredor de circulação e pequeno Hall de entrada A cozinha muito agradável, seguida de lavandaria, SOMENTE equipada com o Exaustor, Placa de Fogão, Forno e Esquentador, tudo eléctrico. O Quarto principal em SUITE e com varanda privativa Uma outra  WC de apoio ao outro quarto. COM DOIS Lugares de Garagem e Arrecadação Perto da Praia dos Reis Magos e alguns serviços Licença de Utilização 56 de 23/03/2005   Licença de Utilização - 56","83,69 m²","99,01 m²",T2,2005,2,C,isento ,"['Arrecadação', 'Varanda', 'Vista de mar', 'Elevador', 'Parqueamento (2 carros)']",Renovado,
"Apartamento T2 para arrendamento anual, em Tavira. Despesas energét...",1 200 €,"""https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjF3bHZuMWd3a2c2azMtRUNPU1lTVEVNIiwidyI6W3siZm4iOiI0amFmcGw5aDNmZ3QtQVBUIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.PC5a4_rTK2ZXN8W6KHzb8I9DWj8P5CG-5YrpkeDF4rE/image;s=1280x1024;q=80""",https://www.imovirtual.com/pt/anuncio/apartamento-t2-para-arrendamento-anual-em-tavira-despesas-energet-ID1bgta.html#14574e5aee,Apartamento,Arrendar,Faro,Tavira,Tavira (Santa Maria e Santiago),,"Tavira (Santa Maria e Santiago), Tavira, Faro","Apartamento T2 para arrendamento anual, situado a poucos metros do centro da cidade de Tavira.  Este apartamento situa se no r/c de um prédio de 3 andares com elevados.  É composto por um amplo hall de entrada, dois quartos de casal  ambos com roupeiros de embutir, sala de estar e jantar, um wc completo com banheira, cozinha totalmente equipada e mobilada.   Encontra-se totalmente mobilado e equipado com ar condicionado em todas as divisões.  O imóvel dispõe ainda de uma ampla varanda com barbecue, de  acesso direto para a cozinha e um dos quartos, conta também com um terraço de uso privativo no topo de edifício.  Este apartamento fica a 41 km do aeroporto de Faro, a 35 km de Espanha.  Todas as despesas energéticas são por conta do inquilino.  Não perca esta excelente oportunidade de viver no  centro da cidade de Tavira perto de todo o comercio e serviços disponíveis.  Agende hoje mesmo a sua visita.  A Kimo é uma rede de Imobiliárias independentes unidas numa marca, as quais atuam no mercado de arrendamentos, gestão de arrendamentos e património, compra e venda de imóveis em todo o país.  Seguimos um rigoroso padrão de seriedade na prestação de serviços imobiliários e gestão, proporcionando assim, tranquilidade, confiança e segurança aos nossos clientes.  A nossa equipa de colaboradores é formada por profissionais experientes com vasto conhecimento no mercado e focados em obter os melhores resultados com vista à total satisfação dos nossos clientes.  Estamos certos de que temos a solução adequada para si.",158 m²,158 m²,T2,2008,1,D,325/2008 ,"['Cozinha Equipada', 'Mobilado']",Usado,
Apartamento T3 para arrendamento,2 050 €,"""https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Inc3OHl5dGI5YnYxcTEtRUNPU1lTVEVNIiwidyI6W3siZm4iOiI0amFmcGw5aDNmZ3QtQVBUIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.EMeX_yzYJe9aAoV2IaX0LlwEYpCHHJNmK6iu-PNBCx4/image;s=1280x1024;q=80""",https://www.imovirtual.com/pt/anuncio/apartamento-t3-para-arrendamento-ID1bgsH.html#14574e5aee,Apartamento,Arrendar,Lisboa,Oeiras,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Oeiras, Lisboa","Apartamento com 4 assoalhadas, num 1º andar, em Santo Amaro | Oeiras. Inserido em prédio com elevador. Conta com 1 garagem box.   Primeira linha, com vista frontal de mar.   Urbanização tranquila, próxima da Avenida Marginal. Zona servida de comércio, serviços, escolas e transportes.   Composto por:  Hall de entrada, sala com recuperador de calor, cozinha, 3 quartos e 2 casas de banho completas.   =Disponível a partir de 1 de Julho=   Para mais informação e/ou visita, contacte-me!    -   3 bedroom apartment, on a 1st floor, in Santo Amaro | Oeiras. Inserted in a building with elevator. It has 1 box garage.   First line, with frontal sea view.   Quiet urbanization, close to Avenida Marginal. Area served by local shops, services, schools and transport.   Composed by: Entrance hall, living room with fireplace, kitchen, 3 bedrooms and 2 complete bathrooms.   =Available from July 1st=   For more information and/or to book a viewing, please contact me! Licença de Utilização - Licença de Utilização nº 5829, emitida pela CM de Oeiras, em 21/04/2015. ",148 m²,125 m²,T3,1996,2,C,isento ,"['Vista de mar', 'Elevador', 'Box (1 carro)']",,
"APARTAMENTO T2, AVENIDA INFANTE SANTO,  ESTRELA, LISBOA",3 000 €,"""https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ingyd2RjZzAyNHp4MDMtRUNPU1lTVEVNIiwidyI6W3siZm4iOiI0amFmcGw5aDNmZ3QtQVBUIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.IKN-4d966CSKylNgAI7swz9rhgtZb8uW-9Bmiv1qTg4/image;s=1280x1024;q=80""",https://www.imovirtual.com/pt/anuncio/apartamento-t2-avenida-infante-santo-estrela-lisboa-ID1b1hU.html#14574e5aee,Apartamento,Arrendar,Lisboa (distrito),Lisboa,Estrela,Avenida Infante Santo,"Avenida Infante Santo , Estrela, Lisboa","Apartamento T2, situado na Avenida Infante Santo, Estrela, com 108.2 m2 de Área útil, Piscina Interior, Ginásio, Sauna, Garagem, Segurança 24h/Dia.O apartamento está equipado e mobilado e tem  acabamentos de excelente qualidade. Aquecimento Central, Estores Elétricos, Janelas de Alumínio com vidros duplos e corte térmico. A porta  de entrada é blindada. A sala de condomínio pode ser utlizada.A cozinha completamente equipada, tem placa de fogão, forno, frigorífico,  congelador, micro-ondas. máquinas de lavar louça e pequenos eletrodomésticos. Existe uma pequena zona diferenciada  para a máquina de lavar e secar roupa.A sala e os quartos estão mobilados. A casa de banho principal tem Jacúzi e duche em áreas distintas, e toalheiros térmicos. Tem uma casa de banho social.  O edifício  tem três elevadores, iluminação  de áreas comuns, portão de garagem com controlo remoto, espaço comum para lixo. Localização: A Estrela é considerado uma das zonas mais bonitas de Lisboa. Este apartamento está localizado muito perto do rio Tejo, a 10 minutos a pé.Aeroporto - 9,2 KmCascais - 11,7 Km (25 minutos de carro) pela MarginalEstação Ferroviária de Santos - 685 m (6 minutos a pé)Jardim da Tapada das Necessidades - 700 m (5 minutos a pé)Jardim da Estrela - 1,6 Km ( 6 minutos) Hospital - 700 m ( 5 minutos a pé)Escola - ISEG - Instituto Superior de Economia e Gestão - 1,4 km ( 5 minutos)Escola -Liceu Pedro Nunes - 1,2 Km (4 minutos)Licença de Utilização Nº 360, emitida em 17.07.1998 CML ",108 m²,108 m²,T2,,2,C,360,"['Condomínio fechado', 'Porta Blindada', 'Video Porteiro', 'Mobilado', 'Portaria', 'Fibra Óptica', 'Gás Canalizado', 'Aquecimento Central', 'Vigilância/segurança', 'Vista de cidade', 'Box (1 carro)', 'Parqueamento (1 carro)', 'Suite', 'Acessibilidade a pessoas com mobilidade condicionada', 'Elevador']",Renovado,
T2 NOVO A ESTREAR  SottoMayor Premium Apartments| Junto Mq. Pombal,2 900 €,"""https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImpxNDU1b213aGxudTEtRUNPU1lTVEVNIiwidyI6W3siZm4iOiI0amFmcGw5aDNmZ3QtQVBUIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.KzQNi_WDQTDSgWbsXseDvJcauIthE1O9BtDQ361o66g/image;s=1280x1024;q=80""",https://www.imovirtual.com/pt/anuncio/t2-novo-a-estrear-sottomayor-premium-apartments-junto-mq-pombal-ID1aBIH.html#14574e5aee,Apartamento,Arrendar,Lisboa (distrito),Lisboa,Santo António,Rua Luciano Cordeiro,"Rua Luciano Cordeiro , Santo António, Lisboa","T2 Novo a estrear em edifício de prestígio, Sottomayor Premium Apartments. Tendo sido concluído no final de 2022, foi executado com acabamentos de alta qualidade e totalmente equipado com os melhores sistemas de segurança e domótica.Com uma área bruta de 98,00m2m e situado no 4º andar, o apartamento divide-se da seguinte forma :Hall de entrada, sala com kitchenette totalmente equipada, aberta para a mesma. Quarto Suite: com roupeiro embutido, blackout eléctrico, uma excelente varanda e a particularidade da casa de banho, ter televisão no espelho.Segundo Quarto: com roupeiros embutidos, blackout eléctrico e uma excelente varanda.Tem ainda uma casa de banho com boas áreas que serve o segundo quarto e visitas.O apartamento tem ainda 2 lugares de garagem com carregador elétrico  e 2 lugares de parqueamento de bicicletas.Características:Ar condicionado comandado individualmentePorta de SegurançaVídeo porteiroCofreSegurança contra incêndio em todo o edifícioBlackouts elétricos nos quartos2 lugares de garagem com carregamento para carros elétricos2 Lugares de parqueamento de bicicletasLicença de Utilização nº 355 de 11-11-2022 Disponível para entrada imediata !Marque já a sua visita!ESCOLHER A KellerWilliams®️ SIGNIFICA:Optar pela mais eficiente Rede de Consultores Imobiliários do mercado, capazes de o aconselhar e acompanhar na operação de compra do seu imóvel. Seja qual for o valor do seu investimento, terá sempre a certeza de que o seu novo imóvel não é uma parte do que fazemos - é tudo o que fazemos.VANTAGENS:- Disponibilização de um Consultor Dedicado em todo o processo de compra;- Procura permanente de um imóvel à medida das suas necessidades;- Acompanhamento negocial;- Disponibilização das mais vantajosas soluções financeiras;- Apoio no processo de financiamento;- Apoio na marcação e realização do CPCV (Contrato Promessa Compra e Venda);- Apoio na marcação e realização da Escritura Pública de Compra e Venda.Na KW Portugal acreditamos na partilha ( 50%- 50%) como uma forma de prestar o melhor serviço ao cliente e por isso se é profissional do sector e tem um cliente comprador qualificado, contacte-me e agende a sua visita!",72 m²,98 m²,T2,2022,2,B,355,"['Porta Blindada', 'Video Porteiro', 'Kitchenette', 'Portaria', 'Fibra Óptica', 'Vigilância/segurança', 'Alarme', 'Painéis Solares', 'Vista de cidade', 'Varanda', 'Parqueamento (2 carros)', 'Arrecadação', 'Suite', 'Acessibilidade a pessoas com mobilidade condicionada', 'Elevador', 'Ar Condicionado']",Novo,
T2 Avenida do Brasil em Lisboa com parqueamento,1 500 €,"""https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjhzcjdyeHh1NDducC1FQ09TWVNURU0iLCJ3IjpbeyJmbiI6IjRqYWZwbDloM2ZndC1BUFQiLCJzIjoiMTQiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.reQNTRX-a4fM5CqWOe4vMqH2dM5uTSzUbMM-iDdGhRM/image;s=1280x1024;q=80""",https://www.imovirtual.com/pt/anuncio/t2-avenida-do-brasil-em-lisboa-com-parqueamento-ID1bfHM.html#14574e5aee,Apartamento,Arrendar,Lisboa (distrito),Lisboa,Alvalade,Avenida do Brasil,"Avenida do Brasil , Alvalade, Lisboa","Apartamento T2 com parqueamento na Avenida do Brasil no centro de Lisboa, totalmente equipado e mobilado. Lugar de parqueamento para uma viatura. Imóvel com 2 roupeiros, um no hall de entrada que tem cerca de 8m2, e outro no quarto com cerca de 16m2,. o 2º quarto tem cerca de 14m2 e varanda. A cozinha com cerca de 18m2 equipada com placa, forno, exaustor, maquina de lavar louça e outra de roupa, mesa com cadeiras , combinado e uma arca vertical.  Sala com cerca de 25m2. Prédio com 2 elevadores sendo um deles de acesso ás garagens, em condominio muito organizado e sossegado.Junto a paragens de transportes, metro , aeroporto e todo o tipo de comércio, universidades e zonas verdes, com muito estacionamento grátis nas traseiras do prédio.Licença de Habitação nº 207 de 10/11(1981 pela CM LisboaDocumentação necessária para Inquilino/s e Fiador/es:- Recibos de vencimentos- IRS- Mapa de Responsabilidades  Condições:- Pagamento de €4.500,00 = 2 rendas + 1 caução- Numero máximo de 3 inquilinos- Restrição a animais de estimação- Apartamento entregue no seu atual estado  - Não tem arrecadação- Contrato de 3 anos.- Não se pretende estudantesDisponível para entrada imediata.",95 m²,95 m²,T2,1995,1,D,urn:207 ,"['Porta Blindada', 'Varanda', 'Elevador', 'Fibra Óptica', 'Despensa', 'Estacionamento', 'Gás Canalizado', 'Acessibilidade a pessoas com mobilidade condicionada', 'Video Porteiro', 'Mobilado', 'Cozinha Equipada']",Usado,
Apartamento T3 para arrendamento,3 600 €,"""https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ino0aW1idm8waGxsNTEtRUNPU1lTVEVNIiwidyI6W3siZm4iOiI0amFmcGw5aDNmZ3QtQVBUIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.6k6k_JiOlq5_tXjOu5h7cCEkDNYOkI9uy3jh6Xhj_fA/image;s=1280x1024;q=80""",https://www.imovirtual.com/pt/anuncio/apartamento-t3-para-arrendamento-ID1bgqA.html#14574e5aee,Apartamento,Arrendar,Lisboa (distrito),Lisboa,Estrela,,"Estrela, Lisboa, Lisboa","Apartamento com traça antiga, renovado e mobilado com mobília italiana (Gerbasoni). Situado numa das zonas mais típicas e prósperas da cidade, no coração, a passos de excelentes resturantes, próximo do rio e de bairros populares como o Príncipe Real e Santos. Este apartamento tem uma disposição espetacular.  Com 160 m2, vistas parciais do rio, Cristo Rei e Ponte. Fica virado a sul e é constituído por sala de estar, sala de jantar, um pequeno quarto (visitas ou escritório), dois quartos, duas casas de banho, cozinha completamente equipada, ar condicionado e móveis de luxo. O apartamento também beneficia de muitas janelas e entradas de luz, o que faz dele um apartamento claro, aconchegante e elegante. **** Apartment with old moth, renovated and furnished with Italian furniture (Gerbasoni). Located in one of the most typical and prosperous areas of the city, in the heart, steps away from excellent restaurants, near the river and popular neighborhoods such as Príncipe Real and Santos. This apartment has a spectacular layout. With 160 m2, partial views of the river, Cristo Rei and the Bridge. It faces south and consists of a living room, dining room, a small room (guest or office), two bedrooms, two bathrooms, fully equipped kitchen, air conditioning and luxury furniture. The apartment also benefits from many windows and light inlets, which makes it a bright, cozy and elegant apartment. Licença de Utilização - isento (prédio anterior a 1951)","105,20 m²",170 m²,T3,1951,2,F,isento ,[],,
Apartamento T1 com terraço e vista desafogada em Campolide,1 250 €,"""https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjZldXVkY3k5ZzZoMS1FQ09TWVNURU0iLCJ3IjpbeyJmbiI6IjRqYWZwbDloM2ZndC1BUFQiLCJzIjoiMTQiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.fQm6D_loywW7nVY6c8d9znSNA22s9c4Cksgm_YPO2Kk/image;s=1280x1024;q=80""",https://www.imovirtual.com/pt/anuncio/apartamento-t1-com-terraco-e-vista-desafogada-em-campolide-ID1bg0k.html#14574e5aee,Apartamento,Arrendar,Lisboa (distrito),Lisboa,Campolide,,"Campolide, Lisboa, Lisboa","Apartamento T1 totalmente recuperado, com terraço e vista, 4 andar sem elevador.  O apartamento é composto por: - Hall de entrada - Quarto com pequeno roupeiro - Casa de banho completa - Cozinha semi-equipada (fogão, forno, exaustor, esquentador) aberta para a sala - Sala com acesso ao terraço com vista magnífica sobre Lisboa.  Apartamento com muita luz.  Área útil: 58,65m2 Isento de licença de utilização por ser anterior a 1951.  Categoria Energética: B","58,65 m²",95 m²,T1,,1,B,ISENTO ,"['Terraço', 'Varanda', 'Vista de cidade']",Renovado,
